"Game","# Owned","# Unique","# Cards","Badge Lvl","Set Price","Price Diff","Card Avg","Booster Avg","Booster %","Emote Avg","BG Avg","Avg Qty","Discount","Added","AppId"
"Comit the Astrodian 2","0","0","10","0","0.40","0.40","0.04","0.02","50.0","0.23","0.03","202","0.17","2022-05-27","597090"
"Hatsune Miku: Project DIVA Mega Mix+","0","0","12","0","1.19","1.19","0.10","0.08","20.0","0.15","0.22","316","0.52","2022-05-27","1761390"
"GetsuFumaDen: Undying Moon","0","0","10","0","0.85","0.85","0.08","0.11","-37.5","0.20","2.07","46","0.35","2022-05-26","1323470"
"Old World","0","0","8","0","0.57","0.57","0.07","0.16","-128.6","0.77","0.35","100","0.24","2022-05-26","597180"
"Cliff Empire","0","0","5","0","0.30","0.30","0.06","0.04","33.3","0.27","0.05","264","0.16","2022-05-25","809140"
"Hardspace: Shipbreaker","0","0","5","0","0.29","0.29","0.06","0.04","33.3","0.05","0.06","510","0.16","2022-05-25","1161580"
"Pro Cycling Manager 2021","0","0","8","0","0.44","0.44","0.06","0.12","-100.0","0.77","0.25","51","0.21","2022-05-25","1453850"
"Achievement printer","0","0","5","0","0.38","0.38","0.08","0.05","37.5","0.04","0.07","125","0.21","2022-05-25","806140"
"The Dead End","0","0","7","0","0.79","0.79","0.11","0.19","-72.7","2.88","2.96","32","0.38","2022-05-24","1342060"
"One Hand Clapping","0","0","8","0","0.36","0.36","0.04","0.06","-50.0","0.23","0.60","63","0.14","2022-05-24","893720"
"BEAR, VODKA, STALINGRAD! 🐻","0","0","9","0","0.50","0.50","0.06","0.05","16.7","0.10","0.05","68","0.26","2022-05-24","1232130"
"Tide Up","0","0","5","0","0.75","0.75","0.15","0.31","-106.7","0.15","1.74","44","0.39","2022-05-23","1890520"
"Occult","0","0","6","0","0.36","0.36","0.06","0.05","16.7","0.06","0.05","87","0.16","2022-05-22","1644490"
"REPLIKATOR","0","0","8","0","0.72","0.72","0.09","0.25","-177.8","7.70","0.76","21","0.31","2022-05-21","1576370"
"Lacuna","0","0","6","0","0.29","0.29","0.05","0.03","40.0","0.03","0.04","271","0.13","2022-05-20","1364100"
"Mind Scanners","0","0","15","0","0.49","0.49","0.03","0.04","-33.3","3.09","0.20","184","0.21","2022-05-20","1389550"
"DEADCRAFT","0","0","7","0","0.70","0.70","0.10","N/A","0.0","1.12","1.59","45","0.35","2022-05-20","1702260"
"Scrapnaut","0","0","5","0","0.29","0.29","0.06","0.07","-16.7","0.16","0.05","86","0.16","2022-05-18","1323900"
"The Chrono Jotter","0","0","11","0","1.07","1.07","0.10","0.41","-310.0","0.17","0.61","34","0.52","2022-05-17","1398740"
"The Centennial Case: A Shijima Story","0","0","10","0","1.04","1.04","0.10","N/A","0.0","164.88","0.28","39","0.43","2022-05-17","1612780"
"Furry Cyberfucker","0","0","5","0","0.67","0.67","0.13","0.36","-176.9","1.04","0.08","52","0.34","2022-05-17","1943760"
"Soundfall","0","0","7","0","0.48","0.48","0.07","0.08","-14.3","0.08","0.15","64","0.24","2022-05-17","1608700"
"Crowns and Pawns: Kingdom of Deceit","0","0","6","0","0.68","0.68","0.11","0.26","-136.4","37.43","0.58","18","0.29","2022-05-16","1125910"
"Lost Nova","0","0","6","0","0.53","0.53","0.09","0.35","-288.9","1.80","0.23","59","0.23","2022-05-15","1603410"
"Seraph's Last Stand","0","0","5","0","0.27","0.27","0.05","0.04","20.0","0.03","0.03","234","0.13","2022-05-15","1919460"
"花园魔三国 蜀汉篇 -The Sacrificial Girl of the Fantasy 3 Kingdoms- SHU","0","0","6","0","0.81","0.81","0.13","N/A","0.0","0.46","1.57","42","0.34","2022-05-15","1240480"
"Vox Machinae","0","0","8","0","0.42","0.42","0.05","0.05","0.0","4.06","3.41","50","0.17","2022-05-14","334540"
"Vesper: Zero Light Edition","0","0","7","0","0.41","0.41","0.06","0.35","-483.3","0.40","6.70","31","0.21","2022-05-13","1187840"
"Tales From The Unending Void","0","0","12","0","0.77","0.77","0.06","0.08","-33.3","0.38","2.13","68","0.31","2022-05-13","1858500"
"ZHP: Unlosing Ranger vs. Darkdeath Evilman","0","0","7","0","0.81","0.81","0.12","N/A","0.0","0.17","0.83","34","0.42","2022-05-13","1732070"
"Magical Girl Celesphonia","0","0","6","0","0.75","0.75","0.12","0.20","-66.7","1.86","0.31","98","0.31","2022-05-12","1786790"
"Comit the Astrodian","0","0","10","0","0.34","0.34","0.03","0.02","33.3","0.11","0.03","115","0.13","2022-05-12","546790"
"Neptunia x SENRAN KAGURA: Ninja Wars","0","0","5","0","0.68","0.68","0.14","0.24","-71.4","0.65","1.02","60","0.37","2022-05-12","1836860"
"Nya Nya Nya Girls (ʻʻʻ)_(=^･ω･^=)_(ʻʻʻ)","0","0","5","0","0.35","0.35","0.07","0.07","0.0","0.03","0.04","225","0.18","2022-05-12","963330"
"KingSim","0","0","10","0","0.52","0.52","0.05","0.08","-60.0","0.44","1.13","36","0.22","2022-05-12","1146170"
"Magic Potion Millionaire","0","0","5","0","0.58","0.58","0.12","0.39","-225.0","1.66","0.45","32","0.31","2022-05-11","1461630"
"Makai Kingdom: Reclaimed and Rebound","0","0","6","0","0.69","0.69","0.12","N/A","0.0","2.46","9.42","43","0.31","2022-05-11","1732060"
"Once Ever After","0","0","8","0","0.97","0.97","0.12","N/A","0.0","0.25","0.68","20","0.42","2022-05-11","951860"
"Card Shark","0","0","13","0","0.62","0.62","0.05","0.04","20.0","0.53","0.20","105","0.30","2022-05-11","1371720"
"Jade's Journey 2","0","0","5","0","0.28","0.28","0.06","0.03","50.0","0.03","0.03","152","0.16","2022-05-11","607030"
"Midnight's Blessing 2","0","0","5","0","0.25","0.25","0.05","0.03","40.0","0.03","0.03","245","0.13","2022-05-11","461370"
"Threads of Destiny","0","0","5","0","0.26","0.26","0.05","0.03","40.0","0.03","0.03","163","0.13","2022-05-11","424870"
"Vagrant Hearts Zero","0","0","5","0","0.26","0.26","0.05","0.03","40.0","0.03","0.03","180","0.13","2022-05-10","615680"
"Bugsnax","0","0","6","0","0.75","0.75","0.12","0.16","-33.3","0.37","0.11","118","0.31","2022-05-10","674140"
"Fast Food Manager","0","0","5","0","0.33","0.33","0.07","0.25","-257.1","0.77","1.89","39","0.18","2022-05-09","1519790"
